iter	Passed	Remaining
0	61	123815
1	68	68752
2	74	49606
3	79	39421
4	84	33809
5	90	30193
6	97	27637
7	103	25794
8	109	24200
9	115	22980
10	121	21899
11	126	20916
12	132	20265
13	136	19390
14	141	18691
15	146	18214
16	152	17815
17	157	17345
18	162	16948
19	167	16566
20	172	16295
21	180	16267
22	185	15930
23	191	15736
24	197	15588
25	203	15476
26	208	15252
27	213	15043
28	219	14918
29	226	14885
30	232	14781
31	239	14720
32	245	14630
33	250	14459
34	256	14380
35	261	14254
36	267	14196
37	274	14157
38	281	14136
39	286	14022
40	292	13982
41	297	13856
42	303	13814
43	310	13803
44	319	13859
45	324	13774
46	332	13817
47	339	13820
48	346	13800
49	353	13785
50	360	13775
51	366	13733
52	374	13757
53	381	13747
54	386	13675
55	392	13620
56	400	13659
57	407	13653
58	414	13644
59	420	13593
60	427	13591
61	432	13529
62	437	13451
63	444	13456
64	451	13430
65	458	13430
66	465	13418
67	471	13396
68	478	13388
69	485	13384
70	491	13350
71	497	13323
72	501	13239
73	508	13234
74	515	13224
75	523	13242
76	530	13249
77	536	13214
78	542	13181
79	549	13196
80	557	13211
81	565	13224
82	571	13204
83	577	13174
84	583	13136
85	588	13099
86	593	13056
87	597	12975
88	602	12942
89	608	12918
90	615	12905
91	620	12874
92	626	12848
93	633	12847
94	640	12844
95	646	12829
96	653	12819
97	660	12828
98	667	12816
99	673	12805
100	682	12830
101	687	12799
102	695	12804
103	701	12794
104	708	12782
105	714	12762
106	721	12760
107	727	12752
108	734	12749
109	744	12789
110	750	12767
111	754	12711
112	760	12693
113	766	12673
114	773	12679
115	780	12677
116	785	12648
117	790	12611
118	797	12606
119	803	12588
120	809	12568
121	815	12549
122	822	12547
123	828	12537
124	835	12535
125	842	12536
126	849	12521
127	856	12521
128	863	12529
129	871	12537
130	879	12544
131	886	12541
132	893	12536
133	898	12514
134	905	12506
135	911	12489
136	918	12492
137	925	12481
138	931	12468
139	937	12461
140	945	12464
141	950	12435
142	958	12444
143	964	12427
144	969	12402
145	974	12380
146	980	12359
147	988	12371
148	996	12374
149	1003	12379
150	1008	12351
151	1015	12347
152	1020	12317
153	1027	12312
154	1032	12294
155	1039	12292
156	1046	12283
157	1052	12272
158	1058	12260
159	1065	12254
160	1072	12247
161	1077	12223
162	1083	12212
163	1090	12213
164	1097	12209
165	1103	12186
166	1110	12189
167	1116	12173
168	1122	12159
169	1127	12137
170	1135	12146
171	1143	12152
172	1150	12145
173	1157	12147
174	1163	12134
175	1170	12127
176	1176	12121
177	1185	12132
178	1190	12116
179	1197	12105
180	1204	12103
181	1208	12075
182	1214	12062
183	1219	12039
184	1225	12022
185	1230	12002
186	1238	12003
187	1243	11989
188	1250	11986
189	1256	11968
190	1262	11957
191	1270	11963
192	1275	11945
193	1281	11933
194	1289	11935
195	1295	11925
196	1300	11901
197	1308	11905
198	1314	11892
199	1320	11888
200	1328	11893
201	1332	11859
202	1339	11856
203	1346	11854
204	1352	11843
205	1360	11850
206	1366	11836
207	1372	11822
208	1379	11822
209	1386	11814
210	1390	11790
211	1396	11781
212	1403	11779
213	1410	11771
214	1416	11756
215	1425	11772
216	1432	11766
217	1437	11754
218	1444	11748
219	1451	11740
220	1457	11734
221	1463	11723
222	1470	11717
223	1476	11709
224	1482	11694
225	1488	11685
226	1494	11676
227	1501	11667
228	1505	11643
229	1512	11636
230	1519	11637
231	1527	11639
232	1533	11632
233	1540	11627
234	1545	11606
235	1549	11581
236	1554	11566
237	1562	11566
238	1568	11555
239	1574	11546
240	1581	11544
241	1589	11546
242	1595	11534
243	1601	11525
244	1608	11521
245	1614	11510
246	1620	11504
247	1625	11486
248	1633	11485
249	1639	11476
250	1648	11483
251	1652	11464
252	1661	11474
253	1668	11466
254	1674	11460
255	1681	11457
256	1689	11456
257	1694	11443
258	1702	11443
259	1707	11426
260	1713	11414
261	1720	11412
262	1725	11394
263	1731	11384
264	1736	11370
265	1743	11364
266	1750	11361
267	1758	11362
268	1763	11350
269	1771	11348
270	1776	11337
271	1781	11318
272	1787	11309
273	1794	11304
274	1800	11296
275	1806	11281
276	1812	11274
277	1817	11260
